1. 理想气体的压强公式是{{c1::（）}}。[2010年真题]	<img height="36" id="图片 1" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/7488a42f-68c5-4a3c-bf5c-46470e17b9a6.png" width="75"/><br><img height="38" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/8e2acc5d-ed83-4119-b879-4653855c4934.png" width="74"/><br><img height="37" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/8272442c-0007-45b0-9214-d7b7c752666f.png" width="81"/><br><img height="38" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/90792ad2-eb62-4a93-a393-67e47f8a553e.png" width="72"/>	C	理想气体的压强公式为：<img height="38" id="图片 726" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/fbb1bce7-48da-4142-abd9-dfabd16eda8d.jpg" width="173"/>，其中<img height="40" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/16e96be5-8f5e-4817-8154-813612aa3c5d.jpg" width="94"/>是分子平均平动动能，所以<img height="35" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/3b04e54f-911e-46a0-aaf3-294a4910dc0c.jpg" width="82"/>。
30. 在一密闭容器中，储有A、B、C三种理想气体，处于平衡状态。A种气体的分子数密度为n1，它产生的压强为p<sub>1</sub>，B种气体的分子数密度为2n<sub>1</sub>，C种气体的分子数密度为3n<sub>1</sub>，则混合气体的压强p为{{c1::（）}}。	4p1<br>5p1<br>6p1<br>7p1	C	由道尔顿分压定律知：在一个容器中，有几种不发生化学反应的气体，当它们处于平衡态时，气体的总压强等于各气体压强之和。则混合气体的压强为：p＝nkT＝（n<sub>1</sub>＋2n<sub>1</sub>＋3n<sub>1</sub>）kT＝6n<sub>1</sub>kT＝6p<sub>1</sub>。
31. 已知一定量的某种理想气体，在温度为T<sub>1</sub>和T<sub>2</sub>时的分子最概然速率分别为<img height="35" id="图片 819" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/3dcbdac8-db8d-4402-8deb-364f326db3e3.jpg" width="70"/>，分子速率分布函数的最大值分别为<img height="32" id="图片 820" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/3a5bf936-a639-4483-81b8-22fea1a9ac06.jpg" width="117"/>，若T<sub>1</sub>＞T<sub>2</sub>，则{{c1::（）}}。	<img height="30" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/790edd1f-285d-4785-97db-17c097d79f1c.png" width="212"/><br><img height="29" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/2d1169e1-d627-4baa-abe1-f95f11087f14.png" width="211"/><br><img height="30" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/25abf00a-190d-41d0-9cd0-9a6c136ee5aa.png" width="210"/><br><img height="28" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/d0ede6c8-a78d-4422-adfd-7038d9b04202.png" width="214"/>	B	最概然速率<img height="47" id="图片 824" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/666d6e89-a288-4317-b236-e57f926883ca.jpg" width="251"/>，所以v<sub>p</sub>∝T；<br/>速率分布函数<img height="52" id="图片 825" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/eb75eef6-5dd4-46eb-9f33-68b81594dda1.jpg" width="376"/>。
32. 在一封闭容器中，理想气体的算术平均速率提高一倍，则{{c1::（）}}。	温度为原来的1/4，压强为原来的4倍<br>温度为原来的4倍，压强为原来的1/4<br>温度和压强都降低为原来的1/4<br>温度和压强都提高为原来的4倍	D	根据算术平均速率<img height="38" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/b3b564cf-e017-4842-8403-a9afbb71a7f5.jpg" width="71"/>可知，当平均速率v—提高一倍时，温度提高为原来的4倍；再根据理想气体状态方程p=nkT可知，压强也提高为原来的4倍。
33. <p>如图2-1-1所示，理想气体由初态a经acb过程变到终态b则{{c1::（）}}。</p>   <p style="text-align:center;">     <img src="http://admintk.100xuexi.com/UpLoadImage/2016-06-14/9a942133-8d7a-45d5-bbee-a8bec6a14c05.jpg" title="2222.jpg"/><br/></p>	内能增量为正，对外做功为正，系统吸热为正<br>内能增量为负，对外做功为正，系统吸热为正<br>内能增量为负，对外做功为正，系统吸热为负<br>内能增量为正，对外做功为正，系统吸热为负	C	该过程系统体积增加，气体对外做功；曲线acb与横轴所围面积比绝热线与横轴所围面积小，所以系统在做功的同时放热；根据热力学第一定律Q＝ΔE＋A可得，ΔE＜0，所以内能增量为负。
34. 如图2-1-2所示，一定量的理想气体，沿着图中直线从状态a（压强p<sub>1</sub>＝4atm，体积V<sub>1</sub>＝2L）变到状态b（压强p<sub>2</sub>＝2atm，体积V<sub>2</sub>＝4L），则在此过程中气体做功情况，下列叙述中正确的是{{c1::（）}}。<br/><span style="display:block;text-align:center;"><img height="279" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/1e6778ef-ce21-4ae1-bd94-c4510c3053b4.jpg" width="269"/></span>	气体对外做正功，向外界放出热量<br>气体对外做正功，从外界吸热<br>气体对外做负功，向外界放出热量<br>气体对外做负功，从外界吸热	B	根据理想气体状态方程：pV=nRT，n、R为常数，由图可知a、b两状态pV相等，故T<sub>a</sub>＝T<sub>b</sub>，根据Q=ΔE+A，气体体积增大，对外做正功A＞0，内能不变ΔE＝0，所以Q＞0，从外界吸热。
35. 设高温热源的热力学温度是低温热源的热力学温度的n倍，则理想气体在一次卡诺循环中，传给低温热源的热量是从高温热源吸取的热量的{{c1::（）}}倍。	<img height="39" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/475b104d-c8e5-4b5e-bbd4-572a4030f71f.png" width="23"/><br><img height="37" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/46feb3c4-be99-4bdf-923e-a30eeeccce0d.png" width="37"/><br><img height="21" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/035b3d00-6560-44e4-8b84-3fdaf250f233.png" width="39"/><br><img height="19" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/92a5e48b-e076-469a-b462-c997b7fd3659.png" width="42"/>	A	系统从高温热源吸热Q<sub>1</sub>为：<img height="43" id="图片 839" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/387809e1-53d6-4e8e-967f-42070e8f56bf.jpg" width="109"/>；系统放热给低温热源Q<sub>2</sub>为：<img height="43" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/7ee50b06-b5d7-41da-ae9b-5b61a0ff4ee5.png" width="109"/>由于卡诺循环中间两过程是绝热过程，所以<br/><img height="48" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/c1828c02-7a55-4b0b-99ee-0db64e17825e.jpg" width="198"/>。
36. <p>一定量的理想气体，在p－T图上经历一个如图所示的循环过程（a→b→c→d→a），如图2-1-3所示。其中a→b、c→d两个过程是绝热过程，则该循环的效率η等于{{c1::（）}}。</p><p style="text-align:center;"><img src="http://admintk.100xuexi.com/UpLoadImage/2016-06-14/2e769589-518c-4459-b908-c307623be541.jpg" title="1111.jpg"/><br/></p>	15%<br>25%<br>35%<br>45%	B	d→a是等温放热过程，b→c是等温吸热过程，a→b、c→d是绝热过程，因此该循环的效率<img height="39" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/dfd07728-7412-4fcb-ad0b-a0907fac3f33.jpg" width="176"/>。
37. 两个卡诺热机的循环曲线如图2-1-4所示，一个工作在温度为T<sub>1</sub>与T<sub>4</sub>的两个热源之间，另一个工作在温度为T<sub>2</sub>与T<sub>3</sub>的两个热源之间，已知这两个循环曲线所包围的面积相等。由此可知，下列关于两个热机效率和吸热情况的叙述正确的是{{c1::（）}}。<br/><span style="display:block;text-align:center;"><img height="214" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/c55c8ba8-20c2-425f-88f3-1113a1be843c.jpg" width="265"/></span>	两个热机从高温热源所吸收的热量一定相等<br>两个热机向低温热源所放出的热量一定相等<br>两个热机吸收的热量与放出的热量（绝对值）的和值一定相等<br>两个热机吸收的热量与放出的热量（绝对值）的差值一定相等	D	热机效率η＝1－Q<sub>2</sub>/Q<sub>1</sub>＝1－T<sub>1</sub>/T<sub>2</sub>，两个循环的初末温度不相同，所以热机效率和内能变化不相等，热机循环吸收或者放出的热量由于条件不足不能确定，高温热源吸收的热量与放出的热量之差等于热机对外做的功，循环过程对外界做的功＝循环曲线所围成的面积，所以选D项。
38. 一定量的双原子理想气体，经如图2-1-5所示的过程，从状态A经等容过程到达状态B，再经一平衡过程到达状态C，最后经等压过程回到状态A已知p<sub>A</sub>＝p<sub>C</sub>＝p，V<sub>A</sub>＝V<sub>B</sub>＝V，A点温度为T<sub>A</sub>，则由状态A变到状态B时，内能的增量及在状态B时<img height="51" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/1c0c2f74-3828-45a1-b1f8-a023be89ce15.jpg" width="42"/>的比值分别为{{c1::（）}}。<br/><span style="display:block;text-align:center;"><img height="299" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/4186afd3-7da8-46ab-aa2a-8683f3471fcc.jpg" width="267"/></span>	<img height="47" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/4b31019c-bc05-474a-babb-cdc755b38389.png" width="286"/><br><img height="45" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/226238fb-b3fe-4b8e-8727-ed704e2b8577.png" width="268"/><br><img height="46" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/97486553-8e2b-4b4d-a864-d28e04628e96.png" width="230"/><br><img height="46" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/c71e1967-4198-42b1-99db-c2974a36a4fd.png" width="281"/>	D	根据理想气体状态方程<img height="30" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/6d00c58f-add7-4869-87e6-91ac1a61b5ac.jpg" width="75"/>和理想气体内能公式<img height="34" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/6339ed70-786f-4f48-919a-ea4f5b1255c4.jpg" width="96"/>可求得状态A的内能为<img height="45" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/d64e4918-c89d-4db4-9043-caa719d46be0.jpg" width="231"/>，同理可求得<img height="37" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/9051b2f8-e64d-434d-b060-a21066e07191.jpg" width="464"/>。<br/>在状态B时，有：<br/><img height="84" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/48f4e8e5-9237-4ff6-ab09-649a776825fd.jpg" width="147"/>
39. 一摩尔的理想气体，完成了由两个等体过程和两个等压过程构成的正循环过程，若循环过程的净热为Q，循环过程的净功为W，则{{c1::（）}}。	Q＞0，W＞0<br>Q＞0，W＜0<br>Q＜0，W＞0<br>Q＜0，W＜0	A	经过一个循环，气体的内能不变，所以在正循环过程中，循环过程的净热和循环过程的净功相同，且同为正值。
40. 下列关于可逆过程的判断正确的是{{c1::（）}}。	可逆热力学过程一定是准静态过程<br>准静态过程一定是可逆过程<br>非准静态过程可能是可逆过程<br>凡无摩擦的过程，一定是可逆过程	A	可逆过程一定是准静态过程，无摩擦的准静态过程是可逆过程；可逆过程是指过程的每一步都可向相反方向进行，同时不引起系统和外界的任何变化，故C项将可逆过程范围扩大；可逆过程一定无摩擦，但无摩擦过程不一定可逆。
41. 一定量的理想气体向真空作绝热自由膨胀，体积由V<sub>1</sub>增至V<sub>2</sub>，在此过程中气体的{{c1::（）}}。	内能不变，熵减少<br>内能不变，熵增加<br>内能不变，熵不变<br>内能增加，熵不变	B	气体向真空作绝热自由膨胀，温度不变，内能不变；根据熵增原理：孤立系统内所发生的任何变化过程，永远朝熵增加的方向进行，可得气体的熵增加。
42. 一容器被一铜片分成两部分，一边是80℃的水，另一边是20℃的水，经过一段时间后，从热的一边向冷的一边传递了1000卡的热量，设水足够多，增减1000卡的热量温度没有明显的变化，则在这个过程中熵变为{{c1::（）}}J/K。	2.4<br>14.5<br>25<br>104.75	A	根据熵的公式，熵变<img height="36" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/7b8ce115-606d-41a6-9b79-e2efbcb81d31.jpg" width="341"/>。
